dia,colonia_A,colonia_B,colonia_C,nascimentos,mortes,folhas,frutos
434,48,9,5,240,301,1.0,0.7999999999999873
435,47,9,5,240,302,1.0,1.0999999999999872
436,48,9,5,241,302,1.0,0.3999999999999872
437,48,9,5,241,302,1.0,0.6999999999999872
438,48,9,5,241,302,1.0,0.9999999999999871
439,47,9,5,241,303,1.0,1.2999999999999872
440,46,9,5,241,304,1.0,0.5999999999999872
441,46,9,5,241,304,1.0,0.8999999999999873
442,46,9,5,241,304,1.0,1.1999999999999873
443,45,9,5,241,305,1.0,0.4999999999999873
444,45,9,5,241,305,1.0,0.7999999999999873
445,44,9,5,241,306,1.0,1.0999999999999872
446,44,9,5,241,306,1.0,0.3999999999999872
447,44,9,5,241,306,1.0,0.6999999999999872
448,43,9,5,241,307,1.0,0.9999999999999871
449,42,9,5,241,308,1.0,1.2999999999999872
450,42,9,5,241,308,1.0,0.5999999999999872
451,42,9,5,241,308,1.0,0.8999999999999873
452,42,9,5,241,308,1.0,1.1999999999999873
453,42,9,5,241,308,1.0,0.4999999999999873
454,42,9,5,241,308,1.0,0.7999999999999873
455,41,9,5,241,309,1.0,1.0999999999999872
456,39,9,5,241,311,1.0,0.3999999999999872
457,39,9,5,241,311,1.0,0.6999999999999872
458,39,9,5,241,311,1.0,0.9999999999999871
459,39,9,5,241,311,1.0,1.2999999999999872
460,39,8,5,241,312,1.0,0.5999999999999872
461,39,8,5,241,312,1.0,0.8999999999999873
462,39,8,5,241,312,1.0,1.1999999999999873
463,39,6,5,241,314,1.0,0.4999999999999873
464,39,6,5,241,314,1.0,0.7999999999999873
465,39,6,5,241,314,1.0,1.0999999999999872
466,39,6,5,241,314,1.0,0.3999999999999872
467,38,6,5,241,315,1.0,0.6999999999999872
468,38,6,5,241,315,1.0,0.9999999999999871
469,38,6,5,241,315,1.0,1.2999999999999872
470,38,6,5,241,315,1.0,0.5999999999999872
471,37,6,5,241,316,1.0,0.8999999999999873
472,37,6,5,241,316,1.0,1.1999999999999873
473,37,6,5,241,316,1.0,0.4999999999999873
474,37,6,5,241,316,1.0,0.7999999999999873
475,36,6,5,241,317,1.0,1.0999999999999872
476,37,6,5,242,317,1.0,0.3999999999999872
477,38,6,5,243,317,1.0,0.6999999999999872
478,38,6,5,243,317,1.0,0.9999999999999871
479,37,6,5,243,318,1.0,1.2999999999999872
480,37,6,5,243,318,1.0,0.5999999999999872
481,37,6,5,243,318,1.0,0.8999999999999873
482,37,6,5,243,318,1.0,1.1999999999999873
483,36,6,5,243,319,1.0,0.4999999999999873
484,36,6,5,243,319,1.0,0.7999999999999873
485,36,6,5,243,319,1.0,1.0999999999999872
486,36,6,5,243,319,1.0,0.3999999999999872
487,36,6,5,243,319,1.0,0.6999999999999872
488,35,6,5,243,320,1.0,0.9999999999999871
489,35,6,5,243,320,1.0,1.2999999999999872
490,34,6,5,243,321,1.0,0.5999999999999872
491,34,6,5,243,321,1.0,0.8999999999999873
492,34,6,5,243,321,1.0,1.1999999999999873
493,34,6,5,243,321,1.0,0.4999999999999873
494,34,6,5,243,321,1.0,0.7999999999999873
495,34,6,5,243,321,1.0,1.0999999999999872
496,34,6,5,243,321,1.0,0.3999999999999872
497,34,6,5,243,321,1.0,0.6999999999999872
498,34,6,5,243,321,1.0,0.9999999999999871
499,34,6,5,243,321,1.0,1.2999999999999872
500,34,4,5,243,323,1.0,0.5999999999999872
501,34,4,5,243,323,1.0,0.8999999999999873
502,34,4,5,243,323,1.0,1.1999999999999873
503,34,4,5,243,323,1.0,0.4999999999999873
504,34,4,5,243,323,1.0,0.7999999999999873
505,33,4,5,243,324,1.0,1.0999999999999872
506,33,4,5,243,324,1.0,0.3999999999999872
507,33,4,4,243,325,1.0,0.6999999999999872
508,33,4,4,243,325,1.0,0.9999999999999871
509,33,4,4,243,325,1.0,1.2999999999999872
510,34,4,4,244,325,1.0,0.5999999999999872
511,34,4,4,244,325,1.0,0.8999999999999873
512,34,4,4,244,325,1.0,1.1999999999999873
513,34,4,4,244,325,1.0,0.4999999999999873
514,34,4,4,244,325,1.0,0.7999999999999873
515,34,4,4,244,325,1.0,1.0999999999999872
516,34,4,4,244,325,1.0,0.3999999999999872
517,35,4,4,245,325,1.0,0.6999999999999872
518,36,4,4,246,325,1.0,0.9999999999999871
519,35,4,4,246,326,1.0,1.2999999999999872
520,35,4,4,246,326,1.0,0.5999999999999872
521,35,4,4,246,326,1.0,0.8999999999999873
522,35,4,4,246,326,1.0,1.1999999999999873
523,35,4,4,246,326,1.0,0.4999999999999873
524,35,4,4,246,326,1.0,0.7999999999999873
525,35,4,4,246,326,1.0,1.0999999999999872
526,35,4,4,246,326,1.0,0.3999999999999872
527,34,4,4,246,327,1.0,0.6999999999999872
528,33,4,4,246,328,1.0,0.9999999999999871
529,33,4,4,246,328,1.0,1.2999999999999872
530,32,4,4,246,329,1.0,0.5999999999999872
531,32,4,4,246,329,1.0,0.8999999999999873
532,32,4,4,246,329,1.0,1.1999999999999873
533,32,4,4,246,329,1.0,0.4999999999999873
534,32,3,4,246,330,1.0,0.7999999999999873
535,32,3,4,246,330,1.0,1.0999999999999872
536,32,3,4,246,330,1.0,0.3999999999999872
537,32,3,4,246,330,1.0,0.6999999999999872
538,32,3,4,246,330,1.0,0.9999999999999871
539,32,2,4,246,331,1.0,1.2999999999999872
540,32,2,4,246,331,1.0,0.5999999999999872
541,32,2,4,246,331,1.0,0.8999999999999873
542,32,2,4,246,331,1.0,1.1999999999999873
543,32,2,4,246,331,1.0,0.4999999999999873
544,32,2,4,246,331,1.0,0.7999999999999873
545,31,2,4,246,332,1.0,1.0999999999999872
546,31,2,4,246,332,1.0,0.3999999999999872
547,31,2,4,246,332,1.0,0.6999999999999872
548,31,2,4,246,332,1.0,0.9999999999999871
549,31,2,4,246,332,1.0,1.2999999999999872
550,32,2,4,247,332,1.0,0.5999999999999872
551,32,2,4,247,332,1.0,0.8999999999999873
552,32,2,4,247,332,1.0,1.1999999999999873
553,32,2,4,247,332,1.0,0.4999999999999873
554,32,2,4,247,332,1.0,0.7999999999999873
555,32,2,4,247,332,1.0,1.0999999999999872
556,32,2,4,247,332,1.0,0.3999999999999872
557,33,2,4,248,332,1.0,0.6999999999999872
558,33,2,4,248,332,1.0,0.9999999999999871
559,33,2,4,248,332,1.0,1.2999999999999872
560,33,2,4,248,332,1.0,0.5999999999999872
561,33,2,4,248,332,1.0,0.8999999999999873
562,33,2,4,248,332,1.0,1.1999999999999873
563,33,2,4,248,332,1.0,0.4999999999999873
564,33,2,4,248,332,1.0,0.7999999999999873
565,33,2,4,248,332,1.0,1.0999999999999872
566,33,2,4,248,332,1.0,0.3999999999999872
567,33,2,4,248,332,1.0,0.6999999999999872
568,33,2,4,248,332,1.0,0.9999999999999871
569,33,2,4,248,332,1.0,1.2999999999999872
570,33,2,4,248,332,1.0,0.5999999999999872
571,33,2,4,248,332,1.0,0.8999999999999873
572,33,2,4,248,332,1.0,1.1999999999999873
573,33,2,4,248,332,1.0,0.4999999999999873
574,33,1,4,248,333,1.0,0.7999999999999873
575,33,1,4,248,333,1.0,1.0999999999999872
576,33,1,4,248,333,1.0,0.3999999999999872
577,33,1,4,248,333,1.0,0.6999999999999872
578,33,1,4,248,333,1.0,0.9999999999999871
579,33,1,4,248,333,1.0,1.2999999999999872
580,33,1,4,248,333,1.0,0.5999999999999872
